Max Score,n,exact,within_1,within_2,mae_pt,pct_mae
5,14,0.5,1.0,1.0,0.5,10.0
6,9,0.1111111111111111,1.0,1.0,0.8888888888888888,14.814814814814813
7,13,0.0,1.0,1.0,1.0,14.285714285714283
8,8,0.125,0.5,1.0,1.375,17.1875
10,48,0.1875,0.8333333333333334,0.9375,1.0833333333333333,10.833333333333332
15,36,0.027777777777777776,0.4166666666666667,0.6944444444444444,2.4166666666666665,16.11111111111111
20,7,0.0,0.2857142857142857,0.5714285714285714,2.5714285714285716,12.857142857142856
