Max Score,n,exact,within_1,within_2,mae_pt,pct_mae
5,15,0.26666666666666666,1.0,1.0,0.7333333333333333,14.666666666666666
6,11,0.0,1.0,1.0,1.0,16.666666666666668
7,11,0.0,1.0,1.0,1.0,14.285714285714283
8,4,0.25,0.75,1.0,1.0,12.5
10,47,0.2127659574468085,0.7659574468085106,0.9148936170212766,1.1063829787234043,11.06382978723404
15,40,0.125,0.325,0.6,2.65,17.666666666666668
20,9,0.1111111111111111,0.3333333333333333,0.6666666666666666,1.8888888888888888,9.444444444444445
